500
45,67
96,83
83,24
95,66
36,93
31,22
47,13
43,91
5,18
56,72
64,46
46,73
48,64
6,52
71,1
16,1
56,1
21,53
36,26
29,9
4,72
69,87
43,67
88,76
82,56
34,4
30,8
26,3
21,18
51,06
74,8
81,33
36,86
18,99
89,15
59,74
82,21
58,6
96,6
73,68
84,43
21,69
91,69
6,26
7,24
68,26
14,22
27,58
72,95
98,13
50,28
0,01
87,3
46,63
27,92
47,9
63,01
20,14
20,75
79,85
34,3
36,37
95,64
83,24
67,28
93,06
36,21
80,32
39,85
30,47
5,78
91,32
21,54
54,74
41,86
95,5
97,97
97,63
91,12
71,61
81,71
92,13
90,64
65,81
21,56
99,8
59,25
49,88
71,61
75,98
42,74
15,65
81,6
70,9
84,81
36,15
42,6
70,12
19,95
26,04
85,34
35,05
33,39
83,2
48,55
54,64
74,4
86,61
84,36
23,2
90,05
59,68
31,38
70,36
53,12
83,76
3,12
47,52
30,22
93,24
71,18
65,05
99,81
52,78
41,06
16,39
48,12
60,3
98,34
61,95
35,49
91,16
56,11
83,91
82,17
10,78
48,1
1,47
73,9
60,39
20,8
23,68
39,82
26,13
34,42
46,53
79,39
70,22
23,27
93,88
40,07
89,53
58,68
15,82
82,78
6,88
35,67
81,73
22,44
89,99
94,21
54,41
8,01
91,21
65,43
0,72
21,34
23,93
4,83
28,66
52,9
75,45
23,7
43,44
45,45
15,57
63,06
42,33
86,03
18,23
74,56
18,69
99,89
90,44
56,59
78,47
23,71
19,24
56,76
31,9
43,61
38,04
26,02
14,89
73,44
43,72
35,64
66,51
80,83
57,55
13
30,19
21,69
68,9
75,98
34,48
79,26
17,75
6,38
62,14
66,77
83,25
28,71
39,6
98,22
19,63
88,44
5,64
34,48
97,35
70,7
69,95
38,19
48,85
34,44
80,54
47,31
6,94
21,75
38,63
61,28
11,65
35,79
23,81
59,98
43,29
29,03
94,41
51,17
31,87
94,13
56,63
49,55
19,83
49,63
38,19
15,33
90,14
0,92
60,74
57,88
73,73
15,81
64,03
27,51
53,56
14,22
72,52
86,28
41,01
26,73
55,96
60,53
40,64
11,62
42,48
73,57
29,32
92,36
58,14
85,39
17,64
54,84
20,41
85,02
79,49
63,84
37,27
64,68
33,3
58,06
46,34
48,79
62,2
83,03
85,75
39,32
81,1
15,06
61,03
87,84
75,78
22,96
96,42
14,65
35,25
62,16
30,94
99,31
43,95
27,96
81,66
67,12
74,45
90,7
83,66
77
1,75
56,64
15,12
94,32
55,07
94,12
76,83
49,13
58,58
26,01
57,57
8,52
10,34
71,03
11,48
0,68
77,5
4,87
32,3
80,54
30,14
93,6
36,13
33,41
25,5
43,25
18,19
2,67
73,37
47,37
56,83
3,2
67,83
54,07
85,4
19,49
11,75
19,55
17,76
75,94
24,1
36,37
88,93
38,01
95,4
52,78
26,13
44,21
37,61
85,97
53,93
90,52
56,59
17,19
70,97
86,12
47,16
70,64
66,88
49,43
20,48
5,26
67,78
85,14
21,92
68
94,61
24,04
56,83
90,37
78,21
77,42
14,75
91,87
49,83
23,32
87,65
10,75
23,14
99,91
52,1
9,36
44,7
18,25
31,38
24,01
70,94
84,24
77,66
32,13
43,7
25,5
17,25
17,9
8,89
66,81
32,27
48
78,13
66,46
11,49
83,42
23,64
17,79
53,12
72
49,39
77,84
31,17
10,78
55,89
96,61
59,57
40,8
51,04
22,01
76,45
7,54
69,23
97,77
38,28
80,15
55,52
18,78
77,65
67,03
88,76
44,11
87,36
98,84
16,22
4,86
32,42
35,81
80,21
80,5
64,31
9,32
40,96
78,62
81,97
66,86
58,05
96,79
72,34
37,07
84,47
80,61
90,74
38,17
28,18
97,8
80,92
13,46
24,16
3,97
10,62
74,76
37,27
41,34
95,01
42,11
87,36
32,78
91,01
4,52
12,63
78,22
96,06
19,28
32,87
79,61
17,93
21,33
1,44
96,68
85,35
94,1
81,27
15,57
65,81
9,92
36,7
76,44
69,5
25,39
70,99
27,67
86,53
31,25
69,6
67,65
71,8
