1490,-4328
1176,488
-4852,1107
1554,-2801
-3160,-1791
-204,-2971
-1520,1864
2014,4696
3322,1709
1144,145
-2649,-565
63,1198
4653,-58
4009,-1891
-2805,-3411
-1484,2882
4850,2253
4439,3807
4989,3509
-52,-4407
2946,-4398
3461,1811
4446,4053
-4595,-1791
-1448,2555
3311,510
-4752,-155
1403,-1107
2655,1312
2714,1159
-1073,4137
4787,593
-2480,1818
59,-3387
-1169,-3431
3414,4853
-3295,205
-4593,-2831
2936,-2699
-4123,2755
3964,-54
-2705,1269
3670,-1563
-452,2787
4706,4390
-4767,-1288
1619,-4790
-4177,4422
-3840,-2998
-4861,-760
-4503,4788
2995,3986
-3015,2943
83,-2910
4597,-1646
-4240,1299
2,2511
-3431,-2471
2373,1605
2696,-2834
-2484,-886
-4368,-1437
-3663,-3782
3533,2744
2018,-4889
615,-4067
-1578,-1697
-4571,-4975
679,-760
-2640,1084
3088,-2178
3175,-2659
-3933,1507
-2669,-611
3861,-4926
2026,892
-3077,3067
3903,33
4400,-3802
3613,-4216
-3911,-2624
933,3018
3444,-495
-2866,3874
-4213,2458
669,3552
-3460,400
-2883,1621
3075,-1549
2440,584
-73,-3597
2386,1776
833,4424
2980,409
2991,143
4448,-665
1012,3519
-2801,4496
-4153,1314
2540,3553
1850,4229
-904,186
-905,-4526
4593,-4007
-3709,-3462
1857,-4725
4410,-780
-1319,-670
-1476,923
3523,3624
-4097,1246
821,-2016
3402,-2960
647,-315
-469,85
2363,-927
399,1135
-3537,-3016
4992,2819
-1749,1350
2008,-4567
3423,-1269
-2686,2418
-4379,-1860
1347,-3553
4032,3154
1199,-1408
-1735,1214
-2976,2927
1029,-3708
-4035,2336
-861,1289
3644,-4078
1606,-2216
900,-268
892,-3213
3712,3250
-4584,520
2652,-734
2681,-3666
-4618,4229
527,-4127
1513,1969
-2107,744
4494,1856
3942,4775
-4350,-4126
2494,1826
-4182,2626
-4320,4066
2774,4615
2447,692
-1464,-2102
-721,-4503
3834,-4068
4528,1103
724,4022
-4857,2003
-839,-287
880,-3718
-3715,-1933
3479,2610
2936,-757
-1707,215
-2634,4026
3783,1680
1746,124
1543,2873
2346,2931
3926,275
-3719,2780
1581,2229
2080,2614
-4809,2062
-1488,4895
-4203,-1154
-811,-4484
-3089,2537
4315,-2341
2815,321
-2760,351
-3265,189
-2132,2986
-2501,-3012
4018,524
3625,1882
-4560,4429
2094,-3123
-2429,-2109
4669,2712
791,1771
421,2000
-1526,3145
2509,-1899
4097,-1732
1692,2491
-1871,-887
668,-33
2634,-40
